epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,140.978,0.71714,0.91427,0.87065,1.00846,0,0.67859,0.62909,0.61956,0.49126,0.6948,0.65338,0.62339,0.45668,0.83601,0.74295,2.47791,1.15765,0,0.000332288,0.000332288,0.0671034
2,286.201,0.70022,0.79,0.75639,0.99613,0,0.76937,0.69865,0.73232,0.60617,0.76487,0.70743,0.73654,0.56025,0.69849,0.58177,1.51866,1.08105,0,0.000661229,0.000661229,0.0340991
3,430.981,0.6828,0.77687,0.71439,0.98867,0,0.73797,0.74932,0.75818,0.60499,0.74793,0.7518,0.76638,0.58133,0.71419,0.60118,1.4174,1.10313,0,0.000985769,0.000985769,0.00109026
4,569.931,0.64666,0.73069,0.66989,0.97463,0,0.70408,0.77095,0.70193,0.57725,0.71349,0.78784,0.71313,0.5376,0.74784,0.59525,1.63211,1.114,0,0.0009802,0.0009802,0.0009802
5,708.557,0.63247,0.71962,0.65376,0.97015,0,0.7821,0.7027,0.72227,0.58434,0.7936,0.71185,0.7413,0.56112,0.79984,0.56492,1.68249,1.2103,0,0.0009736,0.0009736,0.0009736
6,846.181,0.61064,0.71942,0.64406,0.96368,0,0.72207,0.78514,0.74285,0.6233,0.72483,0.81161,0.75415,0.57894,0.66132,0.5392,1.44213,1.07024,0,0.000967,0.000967,0.000967
7,989.769,0.59732,0.68715,0.61061,0.95701,0,0.7635,0.74819,0.72105,0.60756,0.76854,0.76504,0.73695,0.56962,0.61392,0.5606,1.55657,1.03396,0,0.0009604,0.0009604,0.0009604
8,1128.09,0.58991,0.68956,0.5931,0.95424,0,0.72265,0.76824,0.77143,0.65685,0.72565,0.78851,0.78717,0.60098,0.66098,0.57162,1.40697,1.07817,0,0.0009538,0.0009538,0.0009538
9,1271.97,0.57407,0.68752,0.59076,0.94472,0,0.76657,0.78772,0.79377,0.65863,0.7786,0.80743,0.80285,0.62028,0.69273,0.5333,1.32371,1.12243,0,0.0009472,0.0009472,0.0009472
10,1411.9,0.57181,0.67045,0.57326,0.94475,0,0.7688,0.77162,0.80421,0.66068,0.77303,0.79623,0.816,0.6309,0.66938,0.53498,1.35945,1.07741,0,0.0009406,0.0009406,0.0009406
